Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
forged-power-bar-20kg,Forged Power Bar — 20kg,"<p>A 20kg multipurpose barbell rated to 680kg tensile strength, with dual knurl marks for powerlifting and weightlifting. Hard chrome shaft, bronze bushings, and a spin that stays smooth through cleans without running away from you on presses.</p><ul><li>28mm shaft, 190,000 PSI tensile</li><li>Bronze bushing sleeves</li><li>Dual IPF and IWF knurl marks</li><li>Lifetime warranty against bending</li></ul>",Ironforge,Sporting Goods > Exercise & Fitness,Barbells,"strength, barbell, powerlifting, olympic-lifting, best-seller",TRUE,Knurl,Standard,,,,,IF-BAR-20-STD,20000,shopify,42,deny,manual,329.00,379.00,TRUE,TRUE,,,,,FALSE,Forged Power Bar 20kg | Ironforge,"20kg multipurpose barbell, 190k PSI tensile, bronze bushings. Free shipping and a lifetime bend warranty.",active
forged-power-bar-20kg,,,,,,,,Knurl,Aggressive,,,,,IF-BAR-20-AGG,20000,shopify,18,deny,manual,329.00,379.00,TRUE,TRUE,,,,,,,,
cast-kettlebell,Single-Cast Kettlebell,"<p>One piece of gravity-cast iron, machine-finished then powder coated so chalk grips instead of slides. No welds, no seams, no filler in the base.</p><ul><li>33mm handle on 8–20kg, 35mm on 24kg+</li><li>Flat base sits level on any floor</li><li>Matte powder coat</li><li>Weight tolerance within 2%</li></ul>",Ironforge,Sporting Goods > Exercise & Fitness,Kettlebells,"strength, conditioning, kettlebell, best-seller",TRUE,Weight,8 kg,,,,,IF-KB-08,8000,shopify,60,deny,manual,59.00,,TRUE,TRUE,,,,,FALSE,Single-Cast Kettlebell | Ironforge,Gravity-cast iron kettlebells from 8kg to 32kg with a chalk-friendly powder coat.,active
cast-kettlebell,,,,,,,,Weight,12 kg,,,,,IF-KB-12,12000,shopify,55,deny,manual,79.00,,TRUE,TRUE,,,,,,,,
cast-kettlebell,,,,,,,,Weight,16 kg,,,,,IF-KB-16,16000,shopify,48,deny,manual,99.00,,TRUE,TRUE,,,,,,,,
cast-kettlebell,,,,,,,,Weight,20 kg,,,,,IF-KB-20,20000,shopify,30,deny,manual,119.00,,TRUE,TRUE,,,,,,,,
cast-kettlebell,,,,,,,,Weight,24 kg,,,,,IF-KB-24,24000,shopify,24,deny,manual,139.00,,TRUE,TRUE,,,,,,,,
cast-kettlebell,,,,,,,,Weight,32 kg,,,,,IF-KB-32,32000,shopify,6,deny,manual,179.00,,TRUE,TRUE,,,,,,,,
hex-dumbbell-pair,Rubber Hex Dumbbell — Pair,<p>Virgin-rubber heads on a knurled chrome handle. Hex faces stop the roll and take a renegade row without chewing up the floor.</p><ul><li>Sold as a pair</li><li>Low-odour virgin rubber</li><li>Ergonomic knurled handle</li><li>Stackable hex profile</li></ul>,Ironforge,Sporting Goods > Exercise & Fitness,Dumbbells,"strength, dumbbell, home-gym",TRUE,Weight,5 kg,,,,,IF-DB-05,10000,shopify,40,deny,manual,69.00,,TRUE,TRUE,,,,,FALSE,Rubber Hex Dumbbells (Pair) | Ironforge,"Virgin-rubber hex dumbbells sold in pairs, 5kg through 30kg.",active
hex-dumbbell-pair,,,,,,,,Weight,10 kg,,,,,IF-DB-10,20000,shopify,36,deny,manual,119.00,,TRUE,TRUE,,,,,,,,
hex-dumbbell-pair,,,,,,,,Weight,15 kg,,,,,IF-DB-15,30000,shopify,22,deny,manual,169.00,,TRUE,TRUE,,,,,,,,
hex-dumbbell-pair,,,,,,,,Weight,20 kg,,,,,IF-DB-20,40000,shopify,14,deny,manual,219.00,,TRUE,TRUE,,,,,,,,
hex-dumbbell-pair,,,,,,,,Weight,25 kg,,,,,IF-DB-25,50000,shopify,9,deny,manual,269.00,,TRUE,TRUE,,,,,,,,
